Deciles,Min_prob,Max_prob,#1,#0,Total
9,0.6297802240664233,0.9868161065208366,37.0,12.0,49
8,0.49228881722914886,0.625657568295846,29.0,20.0,49
7,0.39665975191764213,0.4918213393160977,18.0,31.0,49
6,0.28937245551392715,0.39606983087829284,19.0,30.0,49
5,0.21503403837712778,0.28842192979407993,15.0,34.0,49
4,0.14443467653347045,0.21151452901426496,6.0,43.0,49
3,0.0840382409438561,0.14375843913470573,5.0,44.0,49
2,0.04061935062710439,0.08371992283001733,3.0,46.0,49
1,0.01353460906899474,0.04058769415917992,2.0,47.0,49
0,0.0013485291073314252,0.01257219514571399,0.0,49.0,49
